signalname,sr120_ann
AM,0.5478363582373379
AOP,0.23369567075835715
AbnormalAccruals,-0.10486403479727985
Accruals,0.48841585826802436
AccrualsBM,0.7867422016326081
AdExp,0.5584755612047585
AgeIPO,0.4420011345376246
AnalystRevision,2.6964721452934133
AnalystValue,0.310804366630275
AnnouncementReturn,1.9774568300089779
AssetGrowth,0.6113667498048194
BM,0.9435695821866288
BMdec,0.8594962711676698
BPEBM,0.17216584457194514
Beta,0.2070941678619804
BetaFP,-0.06888487093073746
BetaLiquidityPS,0.2566888255889346
BetaTailRisk,0.25576362654508067
BidAskSpread,0.10984297223349164
BookLeverage,-0.11129945112082158
BrandInvest,-0.28826793059726336
CF,0.16311940028721666
CPVolSpread,0.9168673078173798
Cash,-0.14730049784871307
CashProd,-0.10176043598360675
ChAssetTurnover,0.0038282763927993636
ChEQ,0.2518296198921325
ChForecastAccrual,0.34760239738992516
ChInv,0.45178074787610784
ChInvIA,1.053179172041834
ChNAnalyst,0.015408797837809156
ChNNCOA,-0.00346412077351773
ChNWC,-0.046339878413091284
ChTax,0.5732041964885392
ChangeInRecommendation,0.8373306111697509
CitationsRD,0.17715800738242357
CompEquIss,0.6047412282446885
CompositeDebtIssuance,0.8453632397660554
ConsRecomm,0.305887497096716
CoskewACX,0.3986027757568471
Coskewness,0.25895139614075535
CredRatDG,0.2848305444437231
CustomerMomentum,0.512715454479342
DebtIssuance,0.6755636024891056
DelBreadth,0.016128680641408464
DelCOA,0.04654997169953889
DelCOL,-0.04960665266998817
DelDRC,0.37094008252148136
DelEqu,0.22360585856063528
DelFINL,1.2679265598594378
DelLTI,0.1454871213623647
DelNetFin,0.6386419726942667
DivInit,0.29003338438402176
DivOmit,0.28962293674682593
DivSeason,0.60243277569738
DivYieldST,1.6734369190173497
DolVol,0.589401190796793
DownRecomm,0.9630026245734088
EBM,0.20945171448976976
EP,0.4001852285428037
EarnSupBig,-0.060682004231676044
EarningsConsistency,0.5813777027995397
EarningsForecastDisparity,0.14287655417526773
EarningsStreak,1.223653562222202
EarningsSurprise,2.380410782700672
EntMult,0.2461562280419509
EquityDuration,0.13555930881324882
ExchSwitch,0.7644631546093537
ExclExp,0.008304069201282198
FEPS,0.3483673990845824
FR,-0.4312172830743222
FirmAge,-0.3973092494917037
FirmAgeMom,0.4640876830713695
ForecastDispersion,0.011077849070400483
Frontier,0.06758509060733726
GP,0.7432236012493288
GrAdExp,0.16545247186883585
GrLTNOA,0.1952375833527693
GrSaleToGrInv,0.2933304644405831
GrSaleToGrOverhead,-0.2654939689688853
Herf,-0.26883304901857735
HerfAsset,-0.6262138568426202
HerfBE,-0.412724520051162
High52,0.032633759330444566
IO_ShortInterest,0.7858909174132932
IdioVol3F,0.18694932368914866
IdioVolAHT,0.14222780375444258
Illiquidity,0.41402537633817954
IndIPO,0.6194078965109764
IndMom,0.48638721377268906
IndRetBig,0.7984414047509628
IntMom,0.1513473779584834
IntanBM,0.07704563838200863
IntanCFP,0.25464685342289145
IntanEP,0.2473452675475609
IntanSP,0.040954823909337905
InvGrowth,0.6802144488156353
InvestPPEInv,0.9821876230903492
Investment,0.054994021129461085
LRreversal,0.5416147118356226
Leverage,0.6656246276254767
MRreversal,0.6381823972668215
MS,1.0434780062067908
MaxRet,-0.0031626088390189575
MeanRankRevGrowth,-0.4282216336080389
Mom12m,0.27372518861019063
Mom12mOffSeason,0.1704044427235024
Mom6m,0.45180101332057787
Mom6mJunk,-0.033644886135881
MomOffSeason,0.044354863984703605
MomOffSeason06YrPlus,0.8536663168175019
MomOffSeason11YrPlus,0.23288548843922777
MomOffSeason16YrPlus,0.4020769163061472
MomRev,-0.2621983795508044
MomSeason,0.07326451398762482
MomSeason06YrPlus,0.25210113461062383
MomSeason11YrPlus,0.28877177177279545
MomSeason16YrPlus,0.6395390564357989
MomSeasonShort,0.1120060037288462
MomVol,0.00923981989462586
NOA,0.15917633664089834
NetDebtFinance,1.0794686483976121
NetDebtPrice,0.46007717091967
NetEquityFinance,0.7960763004726717
NetPayoutYield,0.8117804788959379
NumEarnIncrease,0.7073525116045867
OPLeverage,0.2852130203725737
OScore,0.4566291549020771
OperProf,0.810602649974904
OptionVolume1,0.1971590817555461
OptionVolume2,-0.47281078512548724
OrderBacklog,-0.3466535721080826
OrderBacklogChg,0.3763113664307227
OrgCap,0.22988814505595648
PS,0.344037486382309
PayoutYield,-0.021176471590917356
PctAcc,0.20071168453180405
PctTotAcc,0.8858477444373328
PredictedFE,0.0812199480619838
Price,0.8727180484487805
PriceDelayRsq,0.05397704821125841
PriceDelaySlope,0.1569830572197539
PriceDelayTstat,0.15017825182868486
ProbInformedTrading,0.14003468602312094
RD,0.3530245032790147
RDAbility,0.41251529423103717
RDIPO,0.7290369535047018
RDS,-0.002526171516103773
RDcap,0.0774508841217526
REV6,0.6544743306697562
RIO_Disp,0.37146223932638006
RIO_MB,0.2294843231661251
RIO_Turnover,0.26792624774725
RIO_Volatility,0.5952879159938582
RIVolSpread,0.17131288373782602
RealizedVol,0.18238646520399796
Recomm_ShortInterest,0.25257843057094076
ResidualMomentum,0.19573631105314965
RevenueSurprise,0.7759156696002533
RoE,0.3800888831489524
SP,0.6179044789932415
STreversal,1.1802162637703195
ShareIss1Y,0.6143225364880314
ShareIss5Y,0.7334577050608074
ShareRepurchase,0.2716836561661714
ShareVol,-0.007208303923288318
ShortInterest,0.8059898766659551
Size,-0.27409718887218926
SmileSlope,1.4201895519644347
Spinoff,0.024449216125167286
SurpriseRD,-0.05252529175958998
Tax,0.8205735524623975
TotalAccruals,0.07057218615948072
UpRecomm,0.5781142071085079
VarCF,-0.34449081393026415
VolMkt,0.29349739088849264
VolSD,0.17682874047429112
VolumeTrend,1.188147584097651
XFIN,0.7159925991832699
betaVIX,0.07580060016175967
cfp,0.783024443539132
dNoa,0.6189424941502473
fgr5yrLag,0.02359890843810408
grcapx,0.2065061273178334
grcapx3y,-0.09807150530075286
hire,0.25867168212649766
iomom_cust,0.2392682862210648
iomom_supp,0.05824174053084593
realestate,0.5800118056678987
retConglomerate,0.4035724560546993
roaq,0.39939093963188155
sfe,0.5318558642959906
sinAlgo,0.2834419846610533
skew1,0.8146525023741245
std_turn,-0.12245426279994305
tang,-0.10651542226935652
zerotrade12M,0.2958472567793785
zerotrade1M,0.3218913500111162
zerotrade6M,0.3723199441409223
