convention,convention_label,set_type,signalname
year_jan,Year-01-01,survivor,AnalystRevision
year_jan,Year-01-01,survivor,AnnouncementReturn
year_jan,Year-01-01,survivor,DivYieldST
year_jan,Year-01-01,certified,AnalystRevision
year_jan,Year-01-01,certified,AnnouncementReturn
year_jan,Year-01-01,certified,EarningsSurprise
year_jan,Year-01-01,certified,STreversal
year_jan,Year-01-01,certified,SmileSlope
year_jul,Year-07-01,survivor,AnalystRevision
year_jul,Year-07-01,survivor,AnnouncementReturn
year_jul,Year-07-01,survivor,DivYieldST
year_jul,Year-07-01,certified,AnalystRevision
year_jul,Year-07-01,certified,AnnouncementReturn
year_jul,Year-07-01,certified,EarningsSurprise
year_jul,Year-07-01,certified,STreversal
year_jul,Year-07-01,certified,SmileSlope
primary,(Year+1)-01-01,survivor,AnalystRevision
primary,(Year+1)-01-01,survivor,AnnouncementReturn
primary,(Year+1)-01-01,survivor,DivYieldST
primary,(Year+1)-01-01,certified,AnalystRevision
primary,(Year+1)-01-01,certified,AnnouncementReturn
primary,(Year+1)-01-01,certified,DivYieldST
primary,(Year+1)-01-01,certified,EarningsSurprise
primary,(Year+1)-01-01,certified,STreversal
primary,(Year+1)-01-01,certified,SmileSlope
